,type,context,position,confidence,File
0,PERSON,Tandin Wangchen,"col: Name, row: 0",0.85,test - Copy.csv
1,PERSON,Ted Monty,"col: Name, row: 1",0.85,test - Copy.csv
2,TH_PASSPORT,AB1234527,"col: Passport, row: 0",0.6,test - Copy.csv
3,PERSON,BC1233566,"col: Passport, row: 1",0.85,test - Copy.csv
4,TH_PHONE_NUMBER,123-122-1234,"col: Phone, row: 0",0.9,test - Copy.csv
5,PHONE_NUMBER,123-123-12345,"col: Phone, row: 1",0.7,test - Copy.csv
6,PERSON,Tandin Dorji,"col: Name, row: 0",0.85,test.csv
7,PERSON,Ted Mosby,"col: Name, row: 1",0.85,test.csv
8,TH_PASSPORT,AB1234567,"col: Passport, row: 0",0.6,test.csv
9,MEDICAL_LICENSE,BC1234566,"col: Passport, row: 1",1.0,test.csv
10,TH_PHONE_NUMBER,123-123-1234,"col: Phone, row: 0",0.9,test.csv
11,PHONE_NUMBER,123-123-12345,"col: Phone, row: 1",0.7,test.csv
12,PERSON,Tandin Te,"col: Name, row: 0",0.85,test.xlsx
13,PERSON,Ted Mandy,"col: Name, row: 1",0.85,test.xlsx
14,TH_PASSPORT,CB1234567,"col: Passport, row: 0",0.6,test.xlsx
15,TH_PASSPORT,BC1464566,"col: Passport, row: 1",0.6,test.xlsx
16,TH_PHONE_NUMBER,133-123-1234,"col: Phone, row: 0",0.9,test.xlsx
17,PHONE_NUMBER,103-123-12345,"col: Phone, row: 1",0.7,test.xlsx
